Topic,Link,Git Hub,Date,Notes,
Heap,Implementation of Heap,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/heap.java,24 May,,
Graphs,Graph Facebook Implementation,graph.java,25 May,,
Graphs,Graph Traversal,graphTraversalBfsDfs.java,25 May,,
Graphs,Clone Graph,cloneGraph.java,25 May,,
Graphs,Rotting Oranges,orangesRotting.js,31 May,,
Graphs,Number of Islands,numIslands.java,31 May,,
Graphs,Flood Fill,floodFill.java,31 May,,
Graphs,Number of Lakes,,,,
Graphs,Course Schedule,canFinish.js,31 May,,
Graphs,Course Schedule II,findOrder.js,31 May,,
Graphs,Longest Increasing Path in a Matrix,Assignment,,,
Graphs,913. Cat and Mouse,,,,
Graphs,Djikstras Imp,networkDelayTime.js,1 Jun,,
Graphs,Network Delay Time,networkDelayTime.js,2 Jun,,
Graphs,Bellman Impl,,,,
Graphs,Cheapest Flights Within K Stops,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/findCheapestPrice.js,14 Jun,,
Graphs,Topological Sort BFS ( Kahn's) (helps to detect cycle),TopoSort-Kahns-BFS.js,15 Jun,,
Graphs,Detect Cycle Directed BFS,Detect Cycle Directed BFS-Kahns.js,15 Jun,,
Graphs,Topological Sort DFS,topoSort-DFS.js,15 Jun,,
Graphs,Course Schedule IV,Assignment,15 Jun,,
Graphs,Floyd Warshall,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/floydWarshall.js,22 Jun,,
Graphs,Find the City With the Smallest Number of Neighbors at a Threshold Distance - Floyd Warshall Algorithm,findTheCity.js,22 Jun,,
Graphs,Prims ( Minimum Spanning Tree),https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/Prims.js,28 Jun,,
Graphs,https://leetcode.com/problems/min-cost-to-connect-all-points/description/,"Assignment - Raman Kriti, Abhi",,,
Graphs,Shortest Path in Binary Matrix,shortestPathBinaryMatrix.js,29 Jun,,
Graphs,Kruskals MST,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/kruskals.js,10 Aug,,
Tries,https://leetcode.com/problems/implement-trie-prefix-tree/description/?envType=problem-list-v2&envId=trie,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/trie.js,28 Jun,,
Tries Search Suggestion,,searchSuggestion.html,28 Jun,,
Tries,Word Search,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/exist.js,28 Jun,,
Tries,https://leetcode.com/problems/word-search-ii/description/?envType=problem-list-v2&envId=trie,wordsearch2.js,24 Aug,,
Dynamic Programming,FIB,fib DP intro,22 Jun,,
DP,Climbing Stairs,https://github.com/mshirhaan/logicmojo-mar-2025/blob/main/climbStairs.js,29 Jun,,
DP,Unique Paths,uniquepaths.js,5 Jul,,
DP,Unique Paths II,uniquePathsWithObstacles.js,5 Jul,,
DP,Target Sum Count,,,,
DP,Target Sum Trolly,targetSumDP.js,12 Jul,,
DP,Target Sum Possible Boolean based (unlimited supply),Assignment,,,
DP,Get one combination which adds to target (unlimited supply),Assignment,,,
DP,Get one combination which adds to target memo (unlimited supply),Assignment,,,
DP,Get one combination which adds to target memo (limited supply),Assignment,,,
DP,House Robber,,,,
DP,House Robber II,houseRob2.js,12 Jul,,
DP,Minimum Path Sum,minPathSum.js,13 Jul,,
DP,KnapSack01,knapsack01.js,13 Jul,,
Greedy,KnapSack Fractional,fractionalknapsack.js,19 Jul,,
DP,Coin Change,coinChange.js,19 Jul,,
DP,Best Time to Buy and Sell Stock,maxProfit.js,19 Jul,,
DP,Best Time to Buy and Sell Stock II,maxProfit2.js,19 Jul,,
DP,Best Time to Buy and Sell Stock III,maxProfit3.js,19 Jul,,
DP,Best Time to Buy and Sell Stock IV,same as above with 2 as K,19 Jul,,
DP,Decode Ways,Assignment,,,
DP,Jump Game,canJump.js,19 Jul,,
DP,Longest Common Subsequence,longestCommonSubsequence.js,26 Jul,,
DP,Longest Palindromic Subsequence,longestPalindromeSubseq.js,26 Jul,,
DP,Longest Palindromic Substring,longestPalindrome.js,26 Jul,,
DP,All subsequences Pattern(Sub problems approcah ),,,,
DP,https://leetcode.com/problems/subarray-sum-equals-k/description/,,,,
DP On strings,,,,,
Greedy,Lemonade Change,lemonadeChange.js,17 Aug,,
Greedy,N Meeting room,maxMeetings.js,17 Aug,,
Binary Search,,searchRange.js,2 Aug,,
